time_index,area,num_people
60,A,0
61,Outside,89
61,K,9
61,N,2
61,G,8
61,B,6
61,D,12
61,E,17
61,F,14
61,H,19
61,J,1
61,IM1,9
61,GH,16
61,IM2,0
61,L,4
61,C,5
61,M,1
61,A,0
62,Outside,82
62,K,9
62,N,2
62,G,9
62,B,3
62,D,16
62,E,16
62,F,15
62,H,22
62,J,3
62,IM1,9
62,GH,13
62,IM2,3
62,L,5
62,C,10
62,M,1
62,A,0
63,Outside,70
63,K,9
63,N,2
63,G,11
63,B,6
63,D,20
63,E,19
63,F,12
63,H,20
63,J,1
63,IM1,7
63,GH,21
63,IM2,0
63,L,4
63,C,8
63,M,1
63,A,0
64,Outside,93
64,K,12
64,N,1
64,G,12
64,B,2
64,D,15
64,E,17
64,F,13
64,H,15
64,J,1
64,IM1,9
64,GH,18
64,IM2,2
64,L,4
64,C,7
64,M,1
64,A,0
65,Outside,88
65,K,10
65,N,1
65,G,11
65,B,6
65,D,9
65,E,16
65,F,12
65,H,18
65,J,2
65,IM1,8
65,GH,16
65,IM2,1
65,L,5
65,C,7
65,M,1
65,A,0
66,Outside,82
66,K,10
66,N,0
66,G,16
66,B,5
66,D,16
66,E,17
66,F,13
66,H,19
66,J,2
66,IM1,9
66,GH,10
66,IM2,1
66,L,5
66,C,10
66,M,1
66,A,0
67,Outside,88
67,K,10
67,N,1
67,G,17
67,B,5
67,D,15
67,E,18
67,F,19
67,H,16
67,J,3
67,IM1,8
67,GH,13
67,IM2,0
67,L,4
67,C,8
67,M,1
67,A,0
68,Outside,98
68,K,8
68,N,3
68,G,17
68,B,7
68,D,13
68,E,21
68,F,11
68,H,17
68,J,2
68,IM1,11
68,GH,10
68,IM2,0
68,L,6
68,C,4
68,M,1
68,A,0
69,Outside,106
69,K,7
69,N,2
69,G,16
69,B,2
69,D,10
69,E,17
69,F,13
69,H,15
69,J,2
69,IM1,6
69,GH,12
69,IM2,1
69,L,3
69,C,5
69,M,2
69,A,0
70,Outside,79
70,K,9
70,N,1
70,G,20
70,B,4
70,D,13
70,E,21
70,F,11
70,H,21
70,J,4
70,IM1,6
70,GH,14
70,IM2,2
70,L,5
70,C,7
70,M,2
70,A,0
71,Outside,106
71,K,10
71,N,1
71,G,16
71,B,3
71,D,12
71,E,14
71,F,11
71,H,18
71,J,1
71,IM1,9
71,GH,12
71,IM2,4
71,L,3
71,C,8
71,M,1
71,A,0
72,Outside,96
72,K,9
72,N,2
72,G,19
72,B,10
72,D,12
72,E,21
72,F,6
72,H,22
72,J,3
72,IM1,6
72,GH,9
72,IM2,2
72,L,3
72,C,7
72,M,1
72,A,0
73,Outside,85
73,K,12
73,N,2
73,G,16
73,B,6
73,D,12
73,E,22
73,F,14
73,H,22
73,J,1
73,IM1,6
73,GH,12
73,IM2,1
73,L,3
73,C,8
73,M,1
73,A,0
74,Outside,99
74,K,7
74,N,2
74,G,9
74,B,8
74,D,15
74,E,19
74,F,10
74,H,22
74,J,1
74,IM1,5
74,GH,11
74,IM2,2
74,L,3
74,C,4
74,M,1
74,A,0
75,Outside,90
75,K,7
75,N,2
75,G,12
75,B,6
75,D,13
75,E,17
75,F,15
75,H,20
75,J,1
75,IM1,5
75,GH,10
75,IM2,2
75,L,2
75,C,8
75,M,1
75,A,0
76,Outside,85
76,K,10
76,N,1
76,G,12
76,B,4
76,D,18
76,E,19
76,F,14
76,H,20
76,J,2
76,IM1,6
76,GH,9
76,IM2,1
76,L,2
76,C,9
76,M,3
76,A,0
77,Outside,106
77,K,9
77,N,1
77,G,10
77,B,5
77,D,13
77,E,14
77,F,14
77,H,20
77,J,3
77,IM1,4
77,GH,2
77,IM2,2
77,L,2
77,C,8
77,M,2
77,A,0
78,Outside,103
78,K,9
78,N,1
78,G,10
78,B,8
78,D,8
78,E,17
78,F,10
78,H,20
78,J,3
78,IM1,6
78,GH,10
78,IM2,0
78,L,2
78,C,7
78,M,2
78,A,0
79,Outside,108
79,K,6
79,N,1
79,G,14
79,B,9
79,D,18
79,E,11
79,F,6
79,H,20
79,J,1
79,IM1,6
79,GH,6
79,IM2,0
79,L,3
79,C,7
79,M,3
79,A,0
80,Outside,83
80,K,9
80,N,1
80,G,13
80,B,11
80,D,15
80,E,20
80,F,12
80,H,23
80,J,2
80,IM1,6
80,GH,7
80,IM2,0
80,L,4
80,C,6
80,M,2
80,A,0
81,Outside,77
81,K,12
81,N,1
81,G,16
81,B,7
81,D,18
81,E,22
81,F,14
81,H,19
81,J,5
81,IM1,2
81,GH,6
81,IM2,2
81,L,2
81,C,10
81,M,2
81,A,0
82,Outside,83
82,K,5
82,N,1
82,G,9
82,B,5
82,D,20
82,E,22
82,F,14
82,H,19
82,J,3
82,IM1,5
82,GH,11
82,IM2,1
82,L,3
82,C,8
82,M,2
82,A,0
83,Outside,82
83,K,11
83,N,0
83,G,15
83,B,5
83,D,18
83,E,20
83,F,12
83,H,19
83,J,3
83,IM1,8
83,GH,14
83,IM2,1
83,L,3
83,C,7
83,M,2
83,A,0
84,Outside,90
84,K,11
84,N,0
84,G,9
84,B,4
84,D,19
84,E,14
84,F,10
84,H,19
84,J,2
84,IM1,6
84,GH,17
84,IM2,3
84,L,3
84,C,8
84,M,2
84,A,1
85,Outside,95
85,K,12
85,N,2
85,G,18
85,B,1
85,D,16
85,E,21
85,F,10
85,H,17
85,J,2
85,IM1,6
85,GH,9
85,IM2,0
85,L,3
85,C,8
85,M,2
85,A,1
86,Outside,97
86,K,9
86,N,1
86,G,16
86,B,3
86,D,15
86,E,20
86,F,15
86,H,18
86,J,1
86,IM1,2
86,GH,9
86,IM2,1
86,L,2
86,C,11
86,M,1
86,A,0
87,Outside,105
87,K,5
87,N,0
87,G,12
87,B,0
87,D,15
87,E,15
87,F,13
87,H,21
87,J,2
87,IM1,8
87,GH,10
87,IM2,2
87,L,2
87,C,7
87,M,5
87,A,0
88,Outside,93
88,K,8
88,N,0
88,G,12
88,B,2
88,D,15
88,E,24
88,F,18
88,H,19
88,J,1
88,IM1,5
88,GH,9
88,IM2,2
88,L,5
88,C,8
88,M,2
88,A,0
89,Outside,108
89,K,8
89,N,1
89,G,13
89,B,2
89,D,15
89,E,17
89,F,10
89,H,17
89,J,3
89,IM1,9
89,GH,10
89,IM2,1
89,L,2
89,C,7
89,M,2
89,A,2
90,Outside,102
90,K,9
90,N,1
90,G,9
90,B,2
90,D,20
90,E,15
90,F,13
90,H,19
90,J,1
90,IM1,3
90,GH,10
90,IM2,0
90,L,5
90,C,7
90,M,1
90,A,0
91,Outside,94
91,K,7
91,N,1
91,G,13
91,B,2
91,D,19
91,E,23
91,F,11
91,H,18
91,J,1
91,IM1,10
91,GH,9
91,IM2,1
91,L,4
91,C,6
91,M,4
91,A,1
92,Outside,98
92,K,8
92,N,2
92,G,10
92,B,2
92,D,20
92,E,15
92,F,12
92,H,18
92,J,2
92,IM1,4
92,GH,10
92,IM2,5
92,L,5
92,C,7
92,M,2
92,A,1
93,Outside,100
93,K,7
93,N,1
93,G,10
93,B,6
93,D,16
93,E,22
93,F,13
93,H,21
93,J,5
93,IM1,8
93,GH,6
93,IM2,5
93,L,6
93,C,4
93,M,4
93,A,0
94,Outside,87
94,K,6
94,N,1
94,G,10
94,B,7
94,D,23
94,E,17
94,F,10
94,H,21
94,J,3
94,IM1,8
94,GH,11
94,IM2,2
94,L,4
94,C,3
94,M,2
94,A,0
95,Outside,84
95,K,6
95,N,0
95,G,12
95,B,3
95,D,23
95,E,22
95,F,12
95,H,17
95,J,3
95,IM1,7
95,GH,9
95,IM2,0
95,L,6
95,C,6
95,M,2
95,A,0
96,Outside,91
96,K,6
96,N,1
96,G,12
96,B,7
96,D,24
96,E,22
96,F,12
96,H,17
96,J,3
96,IM1,9
96,GH,8
96,IM2,0
96,L,5
96,C,5
96,M,1
96,A,0
97,Outside,104
97,K,8
97,N,1
97,G,15
97,B,3
97,D,24
97,E,15
97,F,12
97,H,16
97,J,2
97,IM1,10
97,GH,7
97,IM2,2
97,L,3
97,C,5
97,M,1
97,A,0
98,Outside,100
98,K,6
98,N,1
98,G,12
98,B,4
98,D,25
98,E,18
98,F,9
98,H,15
98,J,2
98,IM1,8
98,GH,9
98,IM2,2
98,L,5
98,C,5
98,M,1
98,A,0
99,Outside,86
99,K,5
99,N,0
99,G,10
99,B,8
99,D,18
99,E,21
99,F,12
99,H,24
99,J,3
99,IM1,7
99,GH,8
99,IM2,1
99,L,4
99,C,2
99,M,1
99,A,0
100,Outside,86
100,K,8
100,N,1
100,G,13
100,B,5
100,D,19
100,E,25
100,F,12
100,H,16
100,J,5
100,IM1,3
100,GH,10
100,IM2,4
100,L,4
100,C,2
100,M,1
100,A,0
101,Outside,90
101,K,7
101,N,1
101,G,12
101,B,6
101,D,22
101,E,23
101,F,7
101,H,14
101,J,2
101,IM1,7
101,GH,10
101,IM2,2
101,L,7
101,C,3
101,M,1
101,A,0
102,Outside,88
102,K,9
102,N,1
102,G,9
102,B,3
102,D,17
102,E,31
102,F,10
102,H,20
102,J,2
102,IM1,7
102,GH,11
102,IM2,2
102,L,4
102,C,7
102,M,1
102,A,0
103,Outside,90
103,K,6
103,N,0
103,G,6
103,B,5
103,D,22
103,E,25
103,F,10
103,H,19
103,J,2
103,IM1,9
103,GH,12
103,IM2,2
103,L,7
103,C,4
103,M,2
103,A,0
104,Outside,91
104,K,8
104,N,0
104,G,11
104,B,5
104,D,15
104,E,27
104,F,7
104,H,18
104,J,2
104,IM1,6
104,GH,10
104,IM2,1
104,L,8
104,C,4
104,M,0
104,A,0
105,Outside,103
105,K,9
105,N,1
105,G,8
105,B,5
105,D,13
105,E,22
105,F,7
105,H,23
105,J,2
105,IM1,8
105,GH,6
105,IM2,2
105,L,5
105,C,2
105,M,1
105,A,0
106,Outside,96
106,K,12
106,N,1
106,G,8
106,B,2
106,D,21
106,E,21
106,F,11
106,H,23
106,J,1
106,IM1,7
106,GH,12
106,IM2,1
106,L,4
106,C,4
106,M,2
106,A,0
107,Outside,99
107,K,12
107,N,2
107,G,9
107,B,7
107,D,14
107,E,21
107,F,15
107,H,16
107,J,3
107,IM1,6
107,GH,10
107,IM2,0
107,L,4
107,C,3
107,M,1
107,A,0
108,Outside,96
108,K,8
108,N,2
108,G,9
108,B,3
108,D,12
108,E,32
108,F,13
108,H,16
108,J,3
108,IM1,7
108,GH,11
108,IM2,1
108,L,4
108,C,5
108,M,2
108,A,1
109,Outside,110
109,K,12
109,N,1
109,G,7
109,B,2
109,D,14
109,E,25
109,F,7
109,H,17
109,J,4
109,IM1,9
109,GH,7
109,IM2,0
109,L,4
109,C,5
109,M,1
109,A,0
110,Outside,99
110,K,6
110,N,1
110,G,13
110,B,4
110,D,19
110,E,21
110,F,14
110,H,15
110,J,5
110,IM1,7
110,GH,11
110,IM2,1
110,L,5
110,C,3
110,M,2
110,A,0
111,Outside,116
111,K,6
111,N,1
111,G,10
111,B,3
111,D,17
111,E,20
111,F,12
111,H,13
111,J,4
111,IM1,6
111,GH,11
111,IM2,3
111,L,3
111,C,3
111,M,1
111,A,0
112,Outside,102
112,K,8
112,N,1
112,G,11
112,B,4
112,D,21
112,E,19
112,F,15
112,H,14
112,J,6
112,IM1,5
112,GH,10
112,IM2,4
112,L,3
112,C,4
112,M,1
112,A,0
113,Outside,96
113,K,8
113,N,1
113,G,15
113,B,4
113,D,22
113,E,24
113,F,11
113,H,15
113,J,4
113,IM1,2
113,GH,10
113,IM2,5
113,L,2
113,C,3
113,M,2
113,A,0
114,Outside,97
114,K,10
114,N,0
114,G,13
114,B,3
114,D,22
114,E,19
114,F,13
114,H,14
114,J,9
114,IM1,9
114,GH,9
114,IM2,2
114,L,3
114,C,9
114,M,1
114,A,0
115,Outside,98
115,K,8
115,N,1
115,G,10
115,B,6
115,D,24
115,E,19
115,F,14
115,H,15
115,J,3
115,IM1,3
115,GH,12
115,IM2,4
115,L,2
115,C,6
115,M,2
115,A,0
116,Outside,115
116,K,9
116,N,2
116,G,11
116,B,3
116,D,19
116,E,21
116,F,8
116,H,14
116,J,7
116,IM1,7
116,GH,11
116,IM2,3
116,L,2
116,C,7
116,M,1
116,A,0
117,Outside,100
117,K,9
117,N,1
117,G,13
117,B,3
117,D,22
117,E,19
117,F,12
117,H,15
117,J,6
117,IM1,7
117,GH,14
117,IM2,6
117,L,3
117,C,7
117,M,2
117,A,0
118,Outside,88
118,K,8
118,N,1
118,G,14
118,B,1
118,D,26
118,E,20
118,F,14
118,H,18
118,J,6
118,IM1,8
118,GH,14
118,IM2,6
118,L,4
118,C,9
118,M,2
118,A,0
119,Outside,87
119,K,7
119,N,2
119,G,19
119,B,4
119,D,28
119,E,20
119,F,11
119,H,20
119,J,5
119,IM1,8
119,GH,9
119,IM2,5
119,L,3
119,C,5
119,M,1
119,A,0
120,Outside,113
120,K,10
120,N,2
120,G,20
120,B,3
120,D,21
120,E,16
120,F,7
120,H,18
120,J,3
120,IM1,4
120,GH,9
120,IM2,4
120,L,3
120,C,4
120,M,1
120,A,0
121,Outside,90
121,K,12
121,N,1
121,G,16
121,B,2
121,D,18
121,E,26
121,F,8
121,H,20
121,J,4
121,IM1,9
121,GH,11
121,IM2,5
121,L,3
121,C,6
121,M,0
121,A,0
122,Outside,89
122,K,11
122,N,1
122,G,16
122,B,3
122,D,19
122,E,23
122,F,5
122,H,19
122,J,5
122,IM1,7
122,GH,9
122,IM2,5
122,L,4
122,C,5
122,M,0
122,A,0
123,Outside,76
123,K,13
123,N,1
123,G,16
123,B,2
123,D,26
123,E,21
123,F,15
123,H,20
123,J,4
123,IM1,13
123,GH,11
123,IM2,5
123,L,5
123,C,5
123,M,1
123,A,1
124,Outside,84
124,K,6
124,N,0
124,G,18
124,B,1
124,D,23
124,E,20
124,F,8
124,H,20
124,J,5
124,IM1,9
124,GH,15
124,IM2,7
124,L,4
124,C,6
124,M,1
124,A,1
125,Outside,73
125,K,9
125,N,0
125,G,14
125,B,0
125,D,23
125,E,18
125,F,12
125,H,13
125,J,4
125,IM1,15
125,GH,15
125,IM2,6
125,L,5
125,C,6
125,M,0
125,A,1
126,Outside,98
126,K,7
126,N,0
126,G,10
126,B,3
126,D,17
126,E,15
126,F,4
126,H,20
126,J,4
126,IM1,12
126,GH,16
126,IM2,4
126,L,5
126,C,5
126,M,1
126,A,0
127,Outside,98
127,K,12
127,N,0
127,G,7
127,B,3
127,D,17
127,E,19
127,F,11
127,H,15
127,J,4
127,IM1,13
127,GH,13
127,IM2,7
127,L,3
127,C,4
127,M,0
127,A,0
128,Outside,90
128,K,10
128,N,0
128,G,12
128,B,5
128,D,16
128,E,21
128,F,6
128,H,18
128,J,3
128,IM1,12
128,GH,7
128,IM2,5
128,L,3
128,C,5
128,M,2
128,A,0
129,Outside,89
129,K,11
