time_index,area,num_people,area_m2,density,congestion
7,M,0,672.0425996582782,0.0,0.0
7,A,0,595.5331344664123,0.0,0.0
8,Outside,123,,,
8,K,11,620.3470150691795,0.0177320108468214,0.0354640216936428
8,G,9,440.4463806991165,0.0204338153164396,0.0408676306328792
8,D,19,616.3836869173489,0.0308249559540139,0.0616499119080278
8,F,8,438.7231945461476,0.0182347322855265,0.036469464571053
8,E,18,583.1261941650279,0.030868103988664,0.061736207977328
8,H,11,628.9629458340296,0.0174891065886458,0.0349782131772916
8,GH,7,844.1888963399747,0.0082919830269609,0.0165839660539218
8,B,3,736.6620803946497,0.0040724235437676,0.0081448470875352
8,IM2,2,464.7433054559947,0.0043034509083194,0.0086069018166388
8,J,5,562.7925975599836,0.0088842675288867,0.0177685350577734
8,C,4,637.5788765988797,0.0062737335674257,0.0125474671348514
8,IM1,2,414.08163255867794,0.0048299655013473,0.0096599310026946
8,L,2,660.6695710486767,0.0030272318987317,0.0060544637974634
8,N,2,500.4132588224709,0.0039966966596892,0.0079933933193784
8,M,2,672.0425996582782,0.0029760018204455,0.005952003640891
8,A,0,595.5331344664123,0.0,0.0
9,Outside,134,,,
9,K,8,620.3470150691795,0.0128960078885974,0.0257920157771948
9,G,15,440.4463806991165,0.0340563588607326,0.0681127177214652
9,D,9,616.3836869173489,0.0146012949255855,0.029202589851171
9,F,6,438.7231945461476,0.0136760492141449,0.0273520984282898
9,E,14,583.1261941650279,0.0240085253245165,0.048017050649033
9,H,17,628.9629458340296,0.0270286192733616,0.0540572385467232
9,GH,9,844.1888963399747,0.0106611210346641,0.0213222420693282
9,B,4,736.6620803946497,0.0054298980583568,0.0108597961167136
9,IM2,0,464.7433054559947,0.0,0.0
9,J,4,562.7925975599836,0.0071074140231094,0.0142148280462188
9,C,4,637.5788765988797,0.0062737335674257,0.0125474671348514
9,IM1,3,414.08163255867794,0.007244948252021,0.014489896504042
9,L,2,660.6695710486767,0.0030272318987317,0.0060544637974634
9,N,2,500.4132588224709,0.0039966966596892,0.0079933933193784
9,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
9,A,0,595.5331344664123,0.0,0.0
10,Outside,136,,,
10,K,9,620.3470150691795,0.014508008874672,0.029016017749344
10,G,10,440.4463806991165,0.0227042392404884,0.0454084784809768
10,D,14,616.3836869173489,0.0227131254397997,0.0454262508795994
