time_index,area,num_people
99,M,0
99,A,0
100,Outside,91
100,IM1,7
100,E,11
100,C,5
100,K,7
100,N,8
100,H,14
100,GH,16
100,G,13
100,F,18
100,D,13
100,L,2
100,IM2,8
100,J,3
100,B,2
100,M,0
100,A,0
101,Outside,106
101,IM1,11
101,E,12
101,C,4
101,K,4
101,N,8
101,H,11
101,GH,16
101,G,14
101,F,19
101,D,12
101,L,4
101,IM2,2
101,J,2
101,B,1
101,M,0
101,A,0
102,Outside,103
102,IM1,10
102,E,13
102,C,6
102,K,6
102,N,10
102,H,12
102,GH,12
102,G,13
102,F,14
102,D,12
102,L,2
102,IM2,2
102,J,6
102,B,2
102,M,0
102,A,0
103,Outside,96
103,IM1,12
103,E,20
103,C,6
103,K,8
103,N,10
103,H,13
103,GH,15
103,G,13
103,F,13
103,D,11
103,L,2
103,IM2,3
103,J,6
103,B,2
103,M,0
103,A,0
104,Outside,105
104,IM1,10
104,E,13
104,C,5
104,K,7
104,N,8
104,H,16
104,GH,11
104,G,7
104,F,12
104,D,10
104,L,2
104,IM2,4
104,J,3
104,B,2
104,M,0
104,A,0
105,Outside,97
105,IM1,9
105,E,20
105,C,7
105,K,5
105,N,8
105,H,16
105,GH,13
105,G,11
105,F,13
105,D,10
105,L,2
105,IM2,3
105,J,4
105,B,4
105,M,0
105,A,0
106,Outside,90
106,IM1,7
106,E,18
106,C,9
106,K,7
106,N,8
106,H,15
106,GH,5
106,G,20
106,F,12
106,D,12
106,L,5
106,IM2,4
106,J,7
106,B,1
106,M,0
106,A,0
107,Outside,106
107,IM1,7
107,E,18
107,C,8
107,K,8
107,N,7
107,H,8
107,GH,16
107,G,9
107,F,10
107,D,15
107,L,2
107,IM2,4
107,J,4
107,B,3
107,M,0
107,A,0
108,Outside,109
108,IM1,7
108,E,18
108,C,10
108,K,6
108,N,8
108,H,11
108,GH,15
108,G,12
108,F,14
108,D,10
108,L,2
108,IM2,4
108,J,6
108,B,3
108,M,0
108,A,0
109,Outside,128
109,IM1,6
109,E,15
109,C,8
109,K,7
109,N,9
109,H,9
109,GH,15
109,G,10
109,F,13
109,D,12
109,L,4
109,IM2,1
109,J,2
109,B,1
109,M,0
109,A,0
110,Outside,114
110,IM1,7
110,E,9
110,C,8
110,K,3
110,N,8
110,H,10
110,GH,11
110,G,14
110,F,19
110,D,11
110,L,3
110,IM2,3
110,J,3
110,B,3
110,M,0
110,A,0
111,Outside,102
111,IM1,9
111,E,13
111,C,5
111,K,3
111,N,9
111,H,14
111,GH,10
111,G,18
111,F,18
111,D,8
111,L,1
111,IM2,8
111,J,4
111,B,2
111,M,0
111,A,0
112,Outside,110
112,IM1,6
112,E,12
112,C,7
112,K,7
112,N,8
112,H,8
112,GH,7
112,G,17
112,F,9
112,D,9
112,L,2
112,IM2,4
112,J,4
112,B,2
112,M,0
112,A,0
113,Outside,108
113,IM1,5
113,E,11
113,C,7
113,K,4
113,N,9
113,H,11
113,GH,16
113,G,13
113,F,13
113,D,9
113,L,3
113,IM2,4
113,J,3
113,B,4
113,M,0
113,A,0
114,Outside,97
114,IM1,6
114,E,12
114,C,8
114,K,7
114,N,8
114,H,11
114,GH,12
114,G,12
114,F,13
114,D,6
114,L,1
114,IM2,7
114,J,3
114,B,3
114,M,0
114,A,0
115,Outside,101
115,IM1,7
115,E,12
115,C,8
115,K,9
115,N,7
115,H,11
115,GH,7
115,G,11
115,F,11
115,D,10
115,L,4
115,IM2,5
115,J,2
115,B,2
115,M,0
115,A,0
116,Outside,111
116,IM1,5
116,E,6
116,C,7
116,K,5
116,N,8
116,H,12
116,GH,9
116,G,8
116,F,13
116,D,8
116,L,3
116,IM2,7
116,J,4
116,B,4
116,M,0
116,A,0
117,Outside,114
117,IM1,6
117,E,9
117,C,7
117,K,9
117,N,8
117,H,13
117,GH,7
117,G,10
117,F,13
117,D,9
117,L,2
117,IM2,3
117,J,5
117,B,2
117,M,0
117,A,0
118,Outside,105
118,IM1,6
118,E,8
118,C,7
118,K,10
118,N,9
118,H,7
118,GH,11
118,G,16
118,F,11
118,D,8
118,L,3
118,IM2,3
118,J,5
118,B,2
118,M,0
118,A,0
119,Outside,88
119,IM1,6
119,E,18
119,C,9
119,K,5
119,N,8
119,H,9
119,GH,4
119,G,21
119,F,11
119,D,9
119,L,4
119,IM2,3
119,J,2
119,B,3
119,M,0
119,A,0
120,Outside,95
120,IM1,8
120,E,20
120,C,7
120,K,5
120,N,8
120,H,9
120,GH,4
120,G,13
120,F,15
120,D,7
120,L,3
120,IM2,3
120,J,2
120,B,3
120,M,0
120,A,0
121,Outside,104
121,IM1,9
